ID;Short Name;Long Name;Route Type;Color;Route URL;Shape;geo_point_2d
100100087:87;87;87;Bus;640082;;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.400466, 48.834323], [2.397499, 48.835565], [2.394355, 48.836366], [2.390871, 48.837707], [2.388626, 48.839029], [2.381969, 48.840092], [2.378321, 48.841064], [2.374115, 48.843421], [2.37172, 48.845506], [2.37115, 48.84885], [2.369545, 48.852391], [2.367653, 48.852841], [2.362926, 48.851404], [2.359276, 48.850291], [2.355776, 48.849824], [2.351636, 48.851101], [2.347319, 48.852917], [2.343642, 48.854157], [2.340932, 48.855838], [2.337445, 48.857689], [2.333713, 48.858264], [2.327216, 48.860232], [2.321658, 48.861939], [2.31862, 48.862811], [2.314902, 48.862001]], [[2.314902, 48.861875], [2.320037, 48.861544], [2.321809, 48.859657], [2.323771, 48.857608], [2.326018, 48.855864], [2.329478, 48.854624], [2.333795, 48.853555], [2.337377, 48.85271], [2.339706, 48.852162], [2.34371, 48.851164], [2.345984, 48.850598], [2.347741, 48.850166], [2.353746, 48.849366], [2.359398, 48.85012], [2.363076, 48.851243], [2.367053, 48.852437], [2.369599, 48.851636], [2.370932, 48.848706], [2.371257, 48.845641], [2.371529, 48.844895], [2.373911, 48.84334], [2.37832, 48.840795], [2.381329, 48.840003], [2.388462, 48.838472], [2.390625, 48.837177], [2.392815, 48.835136], [2.395087, 48.833373], [2.397659, 48.832257], [2.400193, 48.834152]], [[2.353964, 48.847865], [2.355775, 48.849042], [2.359398, 48.85012], [2.363076, 48.851243], [2.367053, 48.852437], [2.369599, 48.851636], [2.370932, 48.848706], [2.371257, 48.845641], [2.371529, 48.844895], [2.373911, 48.84334], [2.37832, 48.840795], [2.381329, 48.840003], [2.388462, 48.838472], [2.390625, 48.837177], [2.392815, 48.835136], [2.395087, 48.833373], [2.397659, 48.832257], [2.400193, 48.834152]], [[2.400466, 48.834323], [2.397499, 48.835565], [2.394355, 48.836366], [2.390871, 48.837707], [2.388626, 48.839029], [2.381969, 48.840092], [2.378321, 48.841064], [2.374115, 48.843421], [2.37172, 48.845506], [2.37115, 48.84885], [2.369545, 48.852391], [2.367653, 48.852841], [2.362926, 48.851404], [2.359276, 48.850291], [2.355776, 48.849824], [2.353964, 48.847865]]]}";48.8470344611,2.36518486614
230410452:452;452;452;Bus;67C6D7;;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.060356, 48.754753], [2.050197, 48.763052], [2.04377, 48.762434], [2.034724, 48.760938], [2.029008, 48.759647], [2.028796, 48.763304], [2.031416, 48.763922], [2.035865, 48.763349], [2.038169, 48.762357], [2.043529, 48.76407]], [[2.043529, 48.76407], [2.037325, 48.764809], [2.035526, 48.763276], [2.030844, 48.764055], [2.028608, 48.76289], [2.029322, 48.759441], [2.03516, 48.758413], [2.038301, 48.758214], [2.044913, 48.762275], [2.051314, 48.76265], [2.060154, 48.754474]]]}";48.7612322798,2.04172870875
228177050:50;50;50;Bus;1AC7FF;;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.783492, 48.866084], [2.985248, 48.734209], [3.302985, 48.555945]], [[3.302985, 48.555945], [3.280422, 48.561134], [3.194806, 48.615976], [3.127262, 48.66799], [3.079852, 48.691408], [3.011721, 48.735419], [2.985248, 48.734209], [2.783492, 48.866084]], [[2.783492, 48.866084], [2.985248, 48.734209], [3.011788, 48.735391], [3.079689, 48.691364], [3.126556, 48.667051], [3.194739, 48.616057], [3.280422, 48.561134], [3.302985, 48.555945]], [[3.302985, 48.555945], [2.985248, 48.734209], [2.783492, 48.866084]], [[3.126556, 48.667051], [3.194739, 48.616057], [3.280422, 48.561134]], [[3.280422, 48.561134], [3.194806, 48.615976], [3.127262, 48.66799]], [[3.280422, 48.561134], [3.127262, 48.66799]]]}";48.690211927,3.07175313522
519519127:24;24;24;Bus;8E4900;;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.568837, 48.627751], [2.561789, 48.631657], [2.558169, 48.635088], [2.55213, 48.637257], [2.548075, 48.637507], [2.549017, 48.635581], [2.553705, 48.63444], [2.558223, 48.634998], [2.561991, 48.631252], [2.568784, 48.627886]]]}";48.6332760863,2.55850173215
228228015:15;15;15;Bus;F9DA61;;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.943925, 48.380123], [2.927572, 48.373301], [2.969975, 48.400315], [2.954757, 48.394515], [3.010918, 48.417503], [3.020898, 48.420557], [3.027622, 48.420374], [3.02056, 48.423606], [3.016011, 48.425961], [3.008168, 48.42535]], [[2.943925, 48.380123], [2.954757, 48.394515], [3.010918, 48.417503], [3.020898, 48.420557], [3.027622, 48.420374], [3.02056, 48.423606], [3.016011, 48.425961], [3.008168, 48.42535]], [[3.007899, 48.425423], [3.016209, 48.425591], [3.019818, 48.423674], [3.027622, 48.420374], [3.020722, 48.420558], [3.010511, 48.417407], [2.969975, 48.400315], [2.954757, 48.394515], [2.943925, 48.380123], [2.927651, 48.37313]], [[3.020722, 48.420558], [2.969975, 48.400315], [2.954757, 48.394515]], [[2.927572, 48.373301], [2.943925, 48.380123], [2.969975, 48.400315], [2.954757, 48.394515], [3.010918, 48.417503], [3.020898, 48.420557], [3.027622, 48.420374], [3.02056, 48.423606], [3.016011, 48.425961], [3.008168, 48.42535]]]}";48.4038104318,2.98110317726
522522008:8;8;8;Bus;00ADEE;;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.446574, 48.729445], [2.436869, 48.727575], [2.430731, 48.728775], [2.426929, 48.730441], [2.42372, 48.728628], [2.418863, 48.724506], [2.415534, 48.724283], [2.413453, 48.722756], [2.411321, 48.723396], [2.40545, 48.721476], [2.398557, 48.716932], [2.393925, 48.716925], [2.388437, 48.716658], [2.381643, 48.714377], [2.37185, 48.714021], [2.368884, 48.728691], [2.359795, 48.728504]], [[2.359795, 48.728504], [2.368884, 48.728691], [2.371701, 48.714228], [2.380434, 48.713937], [2.389632, 48.716352], [2.393123, 48.716377], [2.398516, 48.716761], [2.405328, 48.721395], [2.411023, 48.723603], [2.413739, 48.722837], [2.415643, 48.724211], [2.419189, 48.724469], [2.424305, 48.729068], [2.427418, 48.730018], [2.43126, 48.728487], [2.436665, 48.727458], [2.440933, 48.728066], [2.446574, 48.729445]]]}";48.7225184613,2.39994625843
067067035:35;35;35;Bus;F8B63A;;"{""type"": ""MultiLineString"", ""coordinates"": [[[3.023994, 48.958795], [3.066437, 48.955829], [3.070929, 48.954067], [3.074211, 48.953607], [3.076666, 48.94775], [3.082036, 48.947366], [3.08895, 48.947125], [3.068343, 48.927517], [3.039615, 48.899056]], [[3.135765, 48.942678], [3.068343, 48.927517], [3.057366, 48.90907], [3.039615, 48.899056], [3.058665, 48.897603]], [[3.129473, 48.937228], [3.135765, 48.942678], [3.089456, 48.947194], [3.083089, 48.947503], [3.068343, 48.927517], [3.057366, 48.90907], [3.039615, 48.899056], [3.058665, 48.897603]], [[3.058815, 48.897584], [3.039615, 48.899056], [3.057269, 48.908918], [3.068343, 48.927517], [3.127133, 48.94748], [3.124547, 48.950571], [3.136679, 48.942698], [3.129473, 48.937228]], [[3.039615, 48.899056], [3.068343, 48.927517], [3.089456, 48.947194], [3.083089, 48.947503], [3.075508, 48.94791], [3.074335, 48.95366], [3.070902, 48.954121], [3.066505, 48.955865], [3.024239, 48.958803], [3.124547, 48.950571]], [[3.135765, 48.942678], [3.023994, 48.958795], [3.066437, 48.955829], [3.070929, 48.954067], [3.074211, 48.953607], [3.076666, 48.94775], [3.082036, 48.947366], [3.08895, 48.947125], [3.068343, 48.927517], [3.039615, 48.899056], [3.058665, 48.897603]], [[3.129473, 48.937228], [3.135765, 48.942678], [3.08895, 48.947125], [3.083089, 48.947503], [3.068343, 48.927517], [3.057366, 48.90907], [3.039615, 48.899056], [3.058665, 48.897603]], [[3.135765, 48.942678], [3.129473, 48.937228], [3.068343, 48.927517], [3.057366, 48.90907], [3.039615, 48.899056], [3.058665, 48.897603]], [[3.039615, 48.899056], [3.068343, 48.927517], [3.089456, 48.947194], [3.083089, 48.947503], [3.075508, 48.94791], [3.074335, 48.95366], [3.070902, 48.954121], [3.066505, 48.955865], [3.024239, 48.958803]], [[3.129473, 48.937228], [3.135765, 48.942678], [3.127133, 48.94748], [3.068343, 48.927517], [3.057366, 48.90907], [3.039615, 48.899056], [3.058665, 48.897603]], [[3.068343, 48.927517], [3.127133, 48.94748], [3.129473, 48.937228], [3.136679, 48.942698]], [[3.058815, 48.897584], [3.039615, 48.899056], [3.068343, 48.927517], [3.089456, 48.947194], [3.083089, 48.947503], [3.075508, 48.94791], [3.074335, 48.95366], [3.124547, 48.950571], [3.136679, 48.942698]], [[3.058815, 48.897584], [3.039615, 48.899056], [3.068343, 48.927517], [3.089456, 48.947194], [3.083089, 48.947503], [3.075508, 48.94791], [3.074335, 48.95366], [3.124547, 48.950571]], [[3.135765, 48.942678], [3.124547, 48.950571], [3.068343, 48.927517], [3.057366, 48.90907], [3.039615, 48.899056], [3.058665, 48.897603]], [[3.068343, 48.927517], [3.129473, 48.937228], [3.136679, 48.942698], [3.127133, 48.94748]]]}";48.9329720378,3.07729594309
052052026:26;26;26;Bus;C49CC7;;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.042323, 48.933392], [2.003631, 48.930504], [1.995627, 48.938336], [1.994894, 48.943978], [1.995279, 48.945623], [1.994597, 48.953754], [1.994527, 48.960306], [1.992571, 48.965], [1.990538, 48.96689], [1.989294, 48.969232], [1.987959, 48.970909], [1.986909, 48.974752], [1.984525, 48.975976], [1.981082, 48.976415], [1.982417, 48.980805], [1.978258, 48.978186], [1.974961, 48.979075], [1.969366, 48.982653], [1.963819, 48.984936], [1.958104, 48.986095], [1.954653, 48.987441], [1.950175, 48.989089], [1.929636, 48.996246], [1.919807, 48.999106], [1.913733, 48.992039]], [[2.026862, 48.923215], [2.042323, 48.933392], [2.003631, 48.930504], [1.995627, 48.938336], [1.994894, 48.943978], [1.995279, 48.945623], [1.994597, 48.953754], [1.994527, 48.960306], [1.992571, 48.965], [1.990538, 48.96689], [1.989294, 48.969232], [1.987959, 48.970909], [1.986909, 48.974752], [1.984525, 48.975976], [1.981082, 48.976415], [1.982417, 48.980805], [1.978258, 48.978186], [1.974961, 48.979075], [1.969366, 48.982653], [1.963819, 48.984936], [1.958104, 48.986095], [1.954653, 48.987441], [1.950175, 48.989089], [1.929636, 48.996246], [1.919807, 48.999106], [1.913733, 48.992039]], [[1.913856, 48.992048], [1.920985, 48.998723], [1.930856, 48.99572], [1.950081, 48.988936], [1.956311, 48.98662], [1.959541, 48.985632], [1.963382, 48.984961], [1.969474, 48.982725], [1.974413, 48.979406], [1.97853, 48.978295], [1.982417, 48.980805], [1.98096, 48.976361], [1.986801, 48.974662], [1.987892, 48.970774], [1.989034, 48.969366], [1.990744, 48.966828], [1.992904, 48.964174], [1.994322, 48.960233], [1.994571, 48.953638], [1.995332, 48.945902], [1.995103, 48.943268], [1.995572, 48.938336], [2.003563, 48.93045], [2.042392, 48.933392]], [[2.036623, 48.926098], [2.026862, 48.923215], [2.042323, 48.933392], [2.003631, 48.930504], [1.995627, 48.938336], [1.994894, 48.943978], [1.995279, 48.945623], [1.994597, 48.953754], [1.994527, 48.960306], [1.992571, 48.965], [1.990538, 48.96689], [1.989294, 48.969232], [1.987959, 48.970909], [1.986909, 48.974752], [1.984525, 48.975976], [1.981082, 48.976415], [1.982417, 48.980805], [1.978258, 48.978186], [1.974961, 48.979075], [1.969366, 48.982653], [1.963819, 48.984936], [1.958104, 48.986095], [1.954653, 48.987441], [1.950175, 48.989089], [1.929636, 48.996246], [1.919807, 48.999106], [1.913733, 48.992039]], [[1.950081, 48.988936], [1.956311, 48.98662], [1.959541, 48.985632], [1.963382, 48.984961], [1.969474, 48.982725], [1.974413, 48.979406], [1.97853, 48.978295], [1.982417, 48.980805], [1.98096, 48.976361], [1.986801, 48.974662], [1.987892, 48.970774], [1.989034, 48.969366], [1.990744, 48.966828], [1.992904, 48.964174], [1.994322, 48.960233], [1.994571, 48.953638], [1.995332, 48.945902], [1.995103, 48.943268], [1.995572, 48.938336], [2.003563, 48.93045], [2.042392, 48.933392], [2.050642, 48.938652]], [[1.913856, 48.992048], [1.920985, 48.998723], [1.930856, 48.99572], [1.950081, 48.988936], [1.956311, 48.98662], [1.959541, 48.985632], [1.963382, 48.984961], [1.969474, 48.982725], [1.974413, 48.979406], [1.97853, 48.978295], [1.982417, 48.980805], [1.98096, 48.976361], [1.986801, 48.974662], [1.987892, 48.970774], [1.989034, 48.969366], [1.990744, 48.966828], [1.992904, 48.964174], [1.994322, 48.960233], [1.994571, 48.953638], [1.995332, 48.945902], [1.995103, 48.943268], [1.995572, 48.938336], [2.003563, 48.93045], [2.04119, 48.928905], [2.036623, 48.926098], [2.028088, 48.921197], [2.03101, 48.920458], [2.035362, 48.920254], [2.038882, 48.919957], [2.039429, 48.917343], [2.062084, 48.898228], [2.06476, 48.892204], [2.07587, 48.894511]], [[2.06301, 48.947398], [2.042323, 48.933392], [2.003631, 48.930504], [1.995627, 48.938336], [1.994894, 48.943978], [1.995279, 48.945623], [1.994597, 48.953754], [1.994527, 48.960306], [1.992571, 48.965], [1.990538, 48.96689], [1.989294, 48.969232], [1.987959, 48.970909], [1.986909, 48.974752], [1.984525, 48.975976], [1.981082, 48.976415], [1.982417, 48.980805], [1.978258, 48.978186], [1.974961, 48.979075], [1.969366, 48.982653], [1.963819, 48.984936], [1.958104, 48.986095], [1.954653, 48.987441], [1.950175, 48.989089], [1.929636, 48.996246], [1.919807, 48.999106], [1.913733, 48.992039]], [[2.07587, 48.894511], [2.06485, 48.8924], [2.062084, 48.898228], [2.039768, 48.917604], [2.038796, 48.92055], [2.035156, 48.920406], [2.031104, 48.92071], [2.027759, 48.921465], [2.027672, 48.92222], [2.037563, 48.926289], [2.041312, 48.929013], [2.042323, 48.933392], [2.003631, 48.930504], [1.995627, 48.938336], [1.994894, 48.943978], [1.995279, 48.945623], [1.994597, 48.953754], [1.994527, 48.960306], [1.992571, 48.965], [1.990538, 48.96689], [1.989294, 48.969232], [1.987959, 48.970909], [1.986909, 48.974752], [1.984525, 48.975976], [1.981082, 48.976415], [1.982417, 48.980805], [1.978258, 48.978186], [1.974961, 48.979075], [1.969366, 48.982653], [1.963819, 48.984936], [1.958104, 48.986095], [1.954653, 48.987441], [1.950175, 48.989089], [1.929636, 48.996246], [1.919807, 48.999106], [1.913733, 48.992039]], [[1.913856, 48.992048], [1.920985, 48.998723], [1.930856, 48.99572], [1.950081, 48.988936], [1.956311, 48.98662], [1.959541, 48.985632], [1.963382, 48.984961], [1.969474, 48.982725], [1.974413, 48.979406], [1.97853, 48.978295], [1.982417, 48.980805], [1.98096, 48.976361], [1.986801, 48.974662], [1.987892, 48.970774], [1.989034, 48.969366], [1.990744, 48.966828], [1.992904, 48.964174], [1.994322, 48.960233], [1.994571, 48.953638], [1.995332, 48.945902], [1.995103, 48.943268], [1.995572, 48.938336], [2.003563, 48.93045], [2.042392, 48.933392], [2.050642, 48.938652]], [[1.913856, 48.992048], [1.920985, 48.998723], [1.930856, 48.99572], [1.950081, 48.988936], [1.956311, 48.98662], [1.959541, 48.985632], [1.963382, 48.984961], [1.973917, 48.98388], [1.969474, 48.982725], [1.974413, 48.979406], [1.97853, 48.978295], [1.982417, 48.980805], [1.98096, 48.976361], [1.986801, 48.974662], [1.987892, 48.970774], [1.989034, 48.969366], [1.990744, 48.966828], [1.992904, 48.964174], [1.994322, 48.960233], [1.994571, 48.953638], [1.995332, 48.945902], [1.995103, 48.943268], [1.995572, 48.938336], [2.003563, 48.93045], [2.042392, 48.933392]], [[1.974413, 48.979406], [1.98096, 48.976361], [1.986801, 48.974662], [1.987892, 48.970774], [1.989034, 48.969366], [1.990744, 48.966828], [1.992904, 48.964174], [1.994322, 48.960233], [1.994571, 48.953638], [1.995332, 48.945902], [1.995103, 48.943268], [1.995572, 48.938336], [2.003563, 48.93045], [2.04119, 48.928905], [2.044665, 48.926972], [2.049378, 48.925609], [2.087795, 48.900648], [2.095399, 48.895182], [2.097801, 48.894584], [2.098501, 48.896464], [2.094688, 48.898631]], [[1.913856, 48.992048], [1.920985, 48.998723], [1.930856, 48.99572], [1.950081, 48.988936], [1.956311, 48.98662], [1.959541, 48.985632], [1.963382, 48.984961], [1.969474, 48.982725], [1.974413, 48.979406], [1.97853, 48.978295], [1.982417, 48.980805], [1.98096, 48.976361], [1.986801, 48.974662], [1.987892, 48.970774], [1.989034, 48.969366], [1.990744, 48.966828], [1.992904, 48.964174], [1.994322, 48.960233], [1.994571, 48.953638], [1.995332, 48.945902], [1.995103, 48.943268], [1.995572, 48.938336], [2.003563, 48.93045], [2.042392, 48.933392], [2.06301, 48.947398]], [[1.913856, 48.992048], [1.920985, 48.998723], [1.930856, 48.99572], [1.950081, 48.988936], [1.956311, 48.98662], [1.959541, 48.985632], [1.963382, 48.984961], [1.969474, 48.982725], [1.974413, 48.979406], [1.97853, 48.978295], [1.982417, 48.980805], [1.98096, 48.976361], [1.986801, 48.974662], [1.987892, 48.970774], [1.989034, 48.969366], [1.990744, 48.966828], [1.992904, 48.964174], [1.994322, 48.960233], [1.994571, 48.953638], [1.995332, 48.945902], [1.995103, 48.943268], [1.995572, 48.938336], [2.003563, 48.93045], [2.042392, 48.933392], [2.04119, 48.928905], [2.036623, 48.926098], [2.026862, 48.923215]], [[2.042323, 48.933392], [2.003631, 48.930504], [1.995627, 48.938336], [1.994894, 48.943978], [1.995279, 48.945623], [1.994597, 48.953754], [1.994527, 48.960306], [1.992571, 48.965], [1.990538, 48.96689], [1.989294, 48.969232], [1.987959, 48.970909], [1.986909, 48.974752], [1.984525, 48.975976], [1.981082, 48.976415], [1.974961, 48.979075], [1.973174, 48.982826], [1.963819, 48.984936], [1.958104, 48.986095], [1.954653, 48.987441], [1.950175, 48.989089], [1.929636, 48.996246], [1.919807, 48.999106], [1.913733, 48.992039]], [[2.050642, 48.938652], [2.042323, 48.933392], [2.003631, 48.930504], [1.995627, 48.938336], [1.994894, 48.943978], [1.995279, 48.945623], [1.994597, 48.953754], [1.994527, 48.960306], [1.992571, 48.965], [1.990538, 48.96689], [1.989294, 48.969232], [1.987959, 48.970909], [1.986909, 48.974752], [1.984525, 48.975976], [1.981082, 48.976415], [1.982417, 48.980805], [1.978258, 48.978186], [1.974961, 48.979075], [1.969366, 48.982653], [1.963819, 48.984936], [1.958104, 48.986095], [1.954653, 48.987441], [1.950175, 48.989089], [1.929636, 48.996246], [1.919807, 48.999106], [1.913733, 48.992039]], [[1.950081, 48.988936], [1.956311, 48.98662], [1.959541, 48.985632], [1.963382, 48.984961], [1.969474, 48.982725], [1.974413, 48.979406], [1.98096, 48.976361], [1.986801, 48.974662], [1.987892, 48.970774], [1.989034, 48.969366], [1.990744, 48.966828], [1.992904, 48.964174], [1.994322, 48.960233], [1.994571, 48.953638], [1.995332, 48.945902], [1.995103, 48.943268], [1.995572, 48.938336], [2.003563, 48.93045], [2.04119, 48.928905], [2.044665, 48.926972], [2.049378, 48.925609], [2.087795, 48.900648], [2.095399, 48.895182], [2.097801, 48.894584], [2.098501, 48.896464], [2.094688, 48.898631]], [[2.098501, 48.896464], [2.094688, 48.898631], [2.087945, 48.900621], [2.049773, 48.925699], [2.043846, 48.927114], [2.042323, 48.933392], [2.003631, 48.930504], [1.995627, 48.938336], [1.994894, 48.943978], [1.995279, 48.945623], [1.994597, 48.953754], [1.994527, 48.960306], [1.992571, 48.965], [1.990538, 48.96689], [1.989294, 48.969232], [1.987959, 48.970909], [1.986909, 48.974752], [1.984525, 48.975976], [1.981082, 48.976415], [1.982417, 48.980805], [1.978258, 48.978186], [1.974961, 48.979075], [1.969366, 48.982653], [1.963819, 48.984936], [1.958104, 48.986095], [1.954653, 48.987441], [1.950175, 48.989089], [1.929636, 48.996246], [1.919807, 48.999106], [1.913733, 48.992039]], [[1.974413, 48.979406], [1.98096, 48.976361], [1.986801, 48.974662], [1.987892, 48.970774], [1.989034, 48.969366], [1.990744, 48.966828], [1.992904, 48.964174], [1.994322, 48.960233], [1.994571, 48.953638], [1.995332, 48.945902], [1.995103, 48.943268], [1.995572, 48.938336], [2.003563, 48.93045], [2.042392, 48.933392], [2.06301, 48.947398]]]}";48.9561812204,1.99415529641
056356014:11;11;11;Bus;82C8E6;;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.163769, 48.764944], [2.167154, 48.764886], [2.169493, 48.764772], [2.17208, 48.763769], [2.175086, 48.763117], [2.18106, 48.761463], [2.186317, 48.758189], [2.190614, 48.757834], [2.189549, 48.75449], [2.186344, 48.753497], [2.182201, 48.752719], [2.180208, 48.75534], [2.180149, 48.761524], [2.175004, 48.763198], [2.171889, 48.763868], [2.169425, 48.764862], [2.16714, 48.764958], [2.163769, 48.764944]], [[2.163769, 48.764944], [2.167154, 48.764886], [2.169493, 48.764772], [2.17208, 48.763769], [2.175086, 48.763117], [2.18106, 48.761463], [2.180317, 48.75517], [2.182242, 48.752665], [2.186575, 48.753515], [2.189699, 48.754499], [2.19075, 48.75788], [2.186086, 48.75817], [2.180149, 48.761524], [2.175004, 48.763198], [2.171889, 48.763868], [2.169425, 48.764862], [2.16714, 48.764958], [2.163769, 48.764944]]]}";48.7603828641,2.1781822953
100100579:CLAMIBU;CLAMIBU;CLAMIBUS;Bus;F4C931;;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.272014, 48.813911], [2.266245, 48.812604], [2.263852, 48.811533], [2.258325, 48.812698], [2.257362, 48.810855], [2.255419, 48.808841], [2.251597, 48.807589], [2.253748, 48.806907], [2.259697, 48.804871], [2.262285, 48.803012], [2.265362, 48.801549], [2.263569, 48.800047], [2.260779, 48.800225], [2.263039, 48.799651], [2.26523, 48.799059], [2.267925, 48.798252], [2.268916, 48.799358], [2.270034, 48.798046], [2.274226, 48.796709], [2.272282, 48.795531], [2.268895, 48.794549], [2.265945, 48.793757], [2.263036, 48.791652], [2.259104, 48.792251], [2.255608, 48.792312], [2.253231, 48.789884], [2.249645, 48.78732], [2.246329, 48.78534], [2.244114, 48.784574], [2.241611, 48.78459], [2.238539, 48.783491], [2.234189, 48.782588], [2.232968, 48.780655], [2.232618, 48.77883], [2.230091, 48.777812]], [[2.272282, 48.795531], [2.268895, 48.794549], [2.265945, 48.793757], [2.263036, 48.791652], [2.259104, 48.792251], [2.255608, 48.792312], [2.253231, 48.789884], [2.249645, 48.78732], [2.246329, 48.78534], [2.244114, 48.784574], [2.241611, 48.78459], [2.238539, 48.783491], [2.234189, 48.782588], [2.232968, 48.780655], [2.232618, 48.77883], [2.230091, 48.777812]], [[2.275149, 48.798409], [2.271325, 48.799233], [2.268602, 48.800068], [2.266359, 48.799303], [2.263569, 48.800047], [2.261704, 48.800387], [2.262517, 48.803066], [2.258553, 48.805544], [2.256511, 48.80628], [2.257052, 48.808437], [2.258327, 48.81135], [2.258502, 48.812609], [2.262967, 48.81174], [2.266587, 48.811194], [2.269374, 48.81355], [2.272014, 48.813911]], [[2.230091, 48.777812], [2.230386, 48.779961], [2.232764, 48.780619], [2.234162, 48.782247], [2.237686, 48.781468], [2.239711, 48.782144], [2.244482, 48.784071], [2.245514, 48.784827], [2.24596, 48.786562], [2.249834, 48.787715], [2.252008, 48.789263], [2.254238, 48.789974], [2.25588, 48.79224], [2.258927, 48.792737], [2.263771, 48.791769], [2.268651, 48.794379], [2.272622, 48.795504], [2.275149, 48.798409], [2.271325, 48.799233], [2.268602, 48.800068], [2.266359, 48.799303], [2.263569, 48.800047], [2.261704, 48.800387], [2.262517, 48.803066], [2.258553, 48.805544], [2.256511, 48.80628], [2.257052, 48.808437], [2.258327, 48.81135], [2.258502, 48.812609], [2.262967, 48.81174], [2.266587, 48.811194], [2.269374, 48.81355], [2.272014, 48.813911]], [[2.230091, 48.777812], [2.230386, 48.779961], [2.232764, 48.780619], [2.234162, 48.782247], [2.237686, 48.781468], [2.239711, 48.782144], [2.244482, 48.784071], [2.245514, 48.784827], [2.24596, 48.786562], [2.249834, 48.787715], [2.252008, 48.789263], [2.254238, 48.789974], [2.25588, 48.79224], [2.258927, 48.792737], [2.263771, 48.791769], [2.268651, 48.794379], [2.272622, 48.795504]], [[2.272014, 48.813911], [2.266245, 48.812604], [2.263852, 48.811533], [2.258325, 48.812698], [2.257362, 48.810855], [2.255419, 48.808841], [2.251597, 48.807589], [2.253748, 48.806907], [2.259697, 48.804871], [2.262285, 48.803012], [2.265362, 48.801549], [2.263569, 48.800047], [2.260779, 48.800225], [2.263039, 48.799651], [2.26523, 48.799059], [2.267925, 48.798252], [2.268916, 48.799358], [2.270034, 48.798046], [2.274226, 48.796709]]]}";48.7969006565,2.25713109456
